月別,新台幣,人民幣,日圓,韓元,新加坡元,歐元,英鎊,澳幣
2019-01,30.740,6.7055,108.73,1112.7,1.3453,1.1497,1.3135,0.7270
2019-02,30.775,6.6835,110.37,1119.1,1.3479,1.1379,1.3256,0.7179
2019-03,30.825,6.7202,110.74,1135.1,1.3547,1.1232,1.3025,0.7090
2019-04,30.905,6.7366,111.33,1168.2,1.3620,1.1186,1.2953,0.7043
2019-05,31.612,6.9020,108.77,1190.9,1.3774,1.1144,1.2621,0.6924
2019-06,31.072,6.8683,107.64,1154.7,1.3528,1.1387,1.2676,0.7016
2019-07,31.096,6.8855,108.56,1183.1,1.3697,1.1153,1.2165,0.6888
2019-08,31.410,7.1452,106.51,1211.2,1.3884,1.1039,1.2177,0.6720
2019-09,31.042,7.1195,107.84,1199.9,1.3823,1.0918,1.2280,0.6758
2019-10,30.462,7.0350,108.59,1163.4,1.3602,1.1162,1.2940,0.6920
2019-11,30.513,7.0261,109.50,1181.2,1.3668,1.1012,1.2918,0.6778
2019-12,30.106,6.9662,108.64,1154.6,1.3461,1.1210,1.3139,0.7009
2020-01,30.250,6.9300,109.05,1191.8,1.3624,1.1028,1.3128,0.6710
